date,Current_Phase_Average,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted,power
2013/4/25 8:35,10.5273,18.9434,34.2676,343.2185,39.2714,98,0,8.2366,5.6613,2.5199
2013/4/25 8:40,11.033,19.1942,33.7018,363.066,40.6482,95,0,8.2795,5.6348,2.6444
2013/4/25 8:45,11.5777,19.5967,32.9992,385.9944,42.5903,77,0,8.2791,5.5791,2.7772
2013/4/25 8:50,12.0717,19.988,32.1874,402.9312,43.6244,87,0,8.2797,5.5451,2.899
2013/4/25 8:55,12.567,20.202,31.9016,415.395,45.6357,79,0,8.366,5.5136,3.0176
2013/4/25 9:00,13.071,20.6764,31.08,432.1728,47.0954,74,0,8.4597,5.4874,3.1403
2013/4/25 9:05,13.5683,21.1136,30.4126,451.8756,47.7574,81,0,8.589,5.4383,3.261
2013/4/25 9:10,14.0677,21.3241,29.7752,471.037,52.0836,107,0,8.6421,5.4233,3.3834
2013/4/25 9:15,14.575,21.1953,29.9889,489.3941,55.0206,91,0,8.7048,5.4489,3.5085
2013/4/25 9:20,15.018,21.4392,29.7464,503.2444,54.1406,97,0,8.8336,5.4463,3.6192
2013/4/25 9:25,15.441,21.71,29.4126,518.4526,54.4689,91,0,8.8776,5.4375,3.7212
2013/4/25 9:30,15.9073,21.7496,29.2291,538.3399,57.7757,95,0,8.9024,5.4339,3.8365
2013/4/25 9:35,16.357,21.7362,29.4287,557.9214,63.5305,87,0,8.9244,5.4186,3.944
2013/4/25 9:40,16.8027,21.8192,29.2128,575.8102,68.7718,82,0,8.8832,5.4427,4.0517
2013/4/25 9:45,17.2143,21.7456,29.226,588.5225,68.3044,82,0,8.9505,5.4579,4.1523
2013/4/25 9:50,17.5827,21.8768,29.1694,601.2574,67.1707,105,0,8.8506,5.4574,4.2418
2013/4/25 9:55,17.914,22.1378,28.6557,613.9366,64.6894,102,0,8.8452,5.436,4.3231
2013/4/25 10:00,18.2333,22.1744,28.5232,625.8419,64.3323,99,0,8.911,5.4004,4.4025
2013/4/25 10:05,18.5353,22.1758,28.4277,636.5966,64.0936,109,0,8.9401,5.3767,4.4797
2013/4/25 10:10,18.8327,22.5421,28.0975,640.3992,59.9621,87,0,9.049,5.378,4.5519
2013/4/25 10:15,19.166,22.8491,27.5604,654.6639,60.0945,103,0,9.0849,5.3638,4.6326
2013/4/25 10:20,19.4627,22.8797,27.4579,672.9781,59.4865,89,0,9.099,5.3553,4.7067
2013/4/25 10:25,19.7393,23.0564,27.1265,687.0383,58.8976,113,0,9.1459,5.3381,4.7768
2013/4/25 10:30,20.068,23.151,26.7612,701.5573,60.1427,95,0,9.1763,5.3374,4.8555
2013/4/25 10:35,20.348,23.0296,27.0043,712.2094,59.4737,80,0,9.2082,5.3331,4.9255
2013/4/25 10:40,20.6153,23.1808,26.7683,723.3858,57.0962,84,0,9.2551,5.3373,4.9933
2013/4/25 10:45,20.81,23.4814,26.3039,730.5223,53.6212,130,0,9.2583,5.3188,5.0363
2013/4/25 10:50,20.988,23.7683,25.7646,740.821,52.063,75,0,9.3065,5.3001,5.0819
2013/4/25 10:55,21.2193,23.7834,25.7548,753.9227,54.2233,105,0,9.3439,5.2791,5.1393
2013/4/25 11:00,21.404,23.6188,25.9918,761.2891,52.3768,143,0,9.3274,5.2741,5.1872
2013/4/25 11:05,21.6467,23.7901,25.8372,773.6257,54.4137,120,0,9.306,5.2619,5.2421
2013/4/25 11:10,21.87,23.7827,25.894,784.4902,55.0034,117,0,9.3554,5.279,5.2985
2013/4/25 11:15,22.0167,23.7614,25.9632,792.4443,56.4963,111,0,9.3976,5.2863,5.3337
2013/4/25 11:20,22.1267,24.2977,25.0945,800.8364,55.8048,95,0,9.5134,5.2625,5.3611
2013/4/25 11:25,22.3327,24.6091,24.4512,806.3132,55.8472,119,0,9.5457,5.2365,5.4117
2013/4/25 11:30,22.4793,24.7204,24.1112,814.285,57.1524,99,0,9.5303,5.2312,5.4477
2013/4/25 11:35,22.568,24.9795,23.7196,818.616,56.2838,116,0,9.5945,5.226,5.4704
2013/4/25 11:40,22.8367,24.9463,22.3859,832.6955,60.8085,122,0,9.6051,5.2178,5.5412
2013/4/25 11:45,23.026,25.2185,22.2012,838.7662,60.0304,127,0,9.6031,5.2145,5.5909
2013/4/25 11:50,23.0567,25.0777,22.2622,844.4485,63.8944,92,0,9.5912,5.2314,5.604
2013/4/25 11:55,23.2733,25.0246,22.0115,856.061,74.6305,90,0,9.6186,5.2386,5.6516
2013/4/25 12:00,23.4,25.0766,21.7782,859.8378,71.9427,112,0,9.6061,5.2424,5.6828
2013/4/25 12:05,23.4613,25.0665,21.6646,867.4485,72.6721,128,0,9.6561,5.2621,5.7016
2013/4/25 12:10,23.254,25.1887,21.8099,860.1953,66.4784,119,0,9.7323,5.2474,5.6515
2013/4/25 12:15,23.358,25.3112,21.2671,870.8752,72.1983,113,0,9.775,5.2414,5.6773
2013/4/25 12:20,23.4907,25.1977,20.9202,875.7068,72.3839,134,0,9.7816,5.2461,5.7052
2013/4/25 12:25,23.5193,24.9547,21.4397,869.6481,68.7341,120,0,9.7131,5.2434,5.7113
2013/4/25 12:30,23.6507,25.2256,21.1736,866.3977,65.3829,85,0,9.7913,5.2719,5.7407
2013/4/25 12:35,23.612,25.0873,21.1366,867.4689,67.0274,118,0,9.8368,5.2559,5.7409
2013/4/25 12:40,23.6987,25.3281,19.6284,865.5493,65.5292,121,0,9.8165,5.2356,5.7647
2013/4/25 12:45,23.5507,25.804,19.9656,863.6058,63.5323,114,0,9.9046,5.2387,5.7249
2013/4/25 12:50,23.5767,25.5498,19.4896,869.0071,69.1354,127,0,9.9526,5.2435,5.7332
2013/4/25 12:55,23.6367,25.367,19.1297,869.4547,69.5093,128,0,9.9964,5.2481,5.7426
2013/4/25 13:00,23.4727,25.4087,20.418,862.1208,66.5769,119,0,10.0094,5.2464,5.7025
2013/4/25 13:05,23.4173,25.9067,19.5812,859.7692,64.6506,152,0,10.0216,5.2613,5.6879
2013/4/25 13:10,23.3287,25.896,19.1342,854.7792,62.8066,113,0,10.0465,5.2726,5.6715
2013/4/25 13:15,23.1293,25.7538,20.5412,847.1968,64.4182,116,0,10.0927,5.2801,5.6193
2013/4/25 13:20,23.014,25.7011,20.1187,844.875,67.4787,127,0,10.095,5.2786,5.5968
2013/4/25 13:25,22.9713,25.8121,20.1225,836.7979,65.008,113,0,10.1229,5.2875,5.5825
2013/4/25 13:30,22.7513,26.075,20.954,829.1239,64.1862,103,0,10.1671,5.2834,5.526
2013/4/25 13:35,22.6547,26.3157,19.6281,824.8375,64.3238,130,0,10.1823,5.2995,5.4971
2013/4/25 13:40,22.548,25.9116,20.1135,822.4638,66.7115,136,0,10.1626,5.3048,5.4705
2013/4/25 13:45,22.344,25.9937,19.9585,813.3484,65.9223,129,0,10.1038,5.3032,5.4227
2013/4/25 13:50,22.0733,26.3836,19.173,802.5645,64.3508,125,0,10.2106,5.3196,5.3615
2013/4/25 13:55,22.0133,26.4113,19.4729,797.9598,67.1129,128,0,10.2503,5.3069,5.344
2013/4/25 14:00,21.7453,26.252,19.698,789.5638,64.3109,127,0,10.2531,5.267,5.2809
2013/4/25 14:05,21.5173,26.5209,19.0961,786.8336,65.8693,97,0,10.2414,5.2533,5.2229
2013/4/25 14:10,21.4853,26.224,18.6167,779.6622,72.2203,147,0,10.2891,5.254,5.21
2013/4/25 14:15,21.282,26.1916,19.3871,757.3267,67.7719,144,0,10.2684,5.2736,5.1595
2013/4/25 14:20,20.9353,26.2773,19.8546,740.7146,64.0105,123,0,10.3141,5.2745,5.0761
2013/4/25 14:25,20.634,26.0237,20.4588,727.2069,66.9368,105,0,10.3095,5.2797,5.0047
2013/4/25 14:30,20.3627,26.2626,19.5033,724.1826,67.8706,129,0,10.3775,5.2942,4.938
2013/4/25 14:35,20.1427,25.9855,20.1843,722.5632,67.8282,150,0,10.3303,5.3048,4.8801
2013/4/25 14:40,19.8267,25.8529,20.4152,710.198,64.5809,132,0,10.2892,5.323,4.8043
2013/4/25 14:45,19.3799,26.4467,19.7066,687.5647,57.7989,112,0,10.3855,5.3258,4.6943
2013/4/25 14:50,19.0657,26.8791,19.1845,675.8308,61.5821,123,0,10.4651,5.3118,4.6214
2013/4/25 14:55,18.832,26.5584,19.5482,665.4618,61.679,119,0,10.487,5.3074,4.5624
2013/4/25 15:00,18.535,26.3074,19.8787,650.7708,61.2398,109,0,10.4721,5.3132,4.4879
2013/4/25 15:05,18.2653,26.4506,19.4821,631.5673,56.169,114,0,10.4352,5.3351,4.4212
2013/4/25 15:10,17.887,26.4262,19.0814,620.3215,55.229,122,0,10.44,5.3381,4.3302
2013/4/25 15:15,17.5073,26.7841,18.9851,604.5668,50.7257,128,0,10.4606,5.3471,4.2341
2013/4/25 15:20,17.0627,26.7911,19.0554,587.9709,50.7883,154,0,10.5298,5.3391,4.1228
2013/4/25 15:25,16.753,26.7503,19.0226,575.9624,51.3351,129,0,10.5521,5.3348,4.0493
2013/4/25 15:30,16.3687,26.4673,19.6525,560.7195,51.0029,118,0,10.5177,5.3368,3.9528
2013/4/25 15:35,15.9043,26.7023,19.1667,538.8229,46.8502,136,0,10.4864,5.3317,3.843
2013/4/25 15:40,15.5127,26.9443,18.5794,521.6118,46.5783,140,0,10.5108,5.3369,3.748
2013/4/25 15:45,15.1093,26.8642,18.2987,506.1906,47.269,140,0,10.5214,5.3559,3.647
2013/4/25 15:50,14.7213,26.7197,18.0946,490.5335,46.7446,142,0,10.5491,5.356,3.5513
2013/4/25 15:55,14.2897,26.5506,18.292,476.278,46.5179,128,0,10.5416,5.356,3.4435
2013/4/25 16:00,13.8067,26.4271,18.6167,459.996,46.8052,133,0,10.5679,5.3699,3.326
2013/4/25 16:05,13.2893,26.4357,18.6037,439.5629,44.4564,136,0,10.597,5.3898,3.2028
2013/4/25 16:10,12.9437,26.4218,18.6454,419.6552,44.8844,154,0,10.5839,5.397,3.0734
2013/4/25 16:15,12.4693,26.404,18.3208,399.5638,44.556,143,0,10.5355,5.4007,2.9497
2013/4/25 16:20,11.9983,26.6834,18.2124,384.4611,41.7259,142,0,10.5295,5.4092,2.8343
2013/4/25 16:25,11.435,26.5607,17.7766,370.5493,41.8643,118,0,10.5522,5.4187,2.6976
2013/4/25 16:30,10.9193,26.2728,17.8507,358.5334,44.0552,138,0,10.5111,5.4215,2.5747
2013/4/25 16:35,10.388,26.0492,18.5559,339.7013,43.372,122,0,10.4767,5.4286,2.4487
2013/4/25 16:40,9.8163,25.922,18.3657,320.5444,42.9148,115,0,10.4129,5.4252,2.3123
2013/4/25 16:45,9.2273,25.9721,18.2341,298.7116,41.0417,135,0,10.4134,5.433,2.1715
2013/4/25 16:50,8.617,26.1349,18.514,275.3468,38.1489,147,0,10.4027,5.4433,2.0268
2013/4/25 16:55,7.9947,26.0635,19.2165,255.3986,38.5723,142,0,10.4299,5.4499,1.8783
2013/4/25 17:00,7.422,25.7036,19.7738,237.2024,39.5261,117,0,10.3671,5.4441,1.7383
2013/4/25 17:05,6.8193,25.5023,19.5283,217.1881,39.8406,134,0,10.3113,5.4715,1.595
2013/4/25 17:10,6.2113,25.3482,19.56,194.6831,37.8549,122,0,10.3044,5.4724,1.4521
2013/4/25 17:15,5.6027,25.4184,19.481,169.9463,34.9509,150,0,10.2808,5.4979,1.3063
2013/4/25 17:20,4.9373,25.3584,19.7887,92.0493,36.6811,137,0,10.2432,5.5063,1.1624
2013/4/25 17:25,4.3547,25.2273,19.7866,50.1734,34.7509,128,0,10.2475,5.5269,1.0213
2013/4/25 17:30,3.788,25.0907,20.1267,32.2991,29.3775,119,0,10.2446,5.5422,0.8814
2013/4/25 17:35,3.21,24.9949,20.5533,27.2106,24.744,131,0,10.2375,5.5659,0.7357
2013/4/25 17:40,2.156,24.8612,20.6882,23.0968,21.2855,125,0,10.1678,5.5801,0.4487
2013/4/25 17:45,1.3443,24.6587,20.8603,21.008,19.0849,140,0,10.159,5.5899,0.1572
2013/4/25 17:50,1.1617,24.5167,20.6654,18.8598,16.985,114,0,10.1287,5.6176,0.0922
2013/4/25 17:55,1.1053,24.3581,20.5868,16.4008,14.7216,131,0,10.1064,5.6209,0.0741
2013/4/25 18:00,1.1007,24.1771,20.7847,14.0408,12.5387,122,0,10.0754,5.6431,0.0579
2013/4/25 18:05,0.804,24.0025,21.2023,11.9439,10.2638,134,0,10.0908,5.7004,0.0294
2013/4/25 18:10,0.3,23.7895,21.5847,9.9414,8.3505,133,0,10.0973,5.7693,0.0001
2013/4/25 18:15,0.3,23.517,22.1769,8.085,6.555,131,0,10.1027,5.8371,0
2013/4/25 18:20,0.3,23.2663,22.6157,6.3319,4.7131,126,0,10.0263,5.8818,0
2013/4/25 18:25,0.3,23.0378,22.9042,5.2989,3.5243,127,0,10.1047,5.9229,0
2013/4/25 18:30,0.3,22.8903,23.0215,4.1446,2.5634,128,0,9.9894,5.9692,0
